,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
0,-0.014066584387508069,-0.006534061738160821,-0.019915506799529723,1.3572586336452436e-08,6.154847850053576e+46
1,-0.014066584387508069,-0.004148700244232715,-0.019915506799529723,1.3572586336452436e-08,6.925733970650913e+46
2,-0.02002998812232956,-0.010112103979054614,-0.011566741570779717,1.0858069069161949e-07,9.827472899034248e+45
3,-0.01525926513447253,-0.01488282696691083,-0.011566741570779717,1.0858069069161949e-07,8.027500869620045e+45
4,-0.016451945881436583,-0.011304784726018669,-0.01514478381167351,1.3572586336452436e-08,7.474893844954955e+45
5,-0.016451945881436583,-0.008919423232090561,-0.01514478381167351,1.3572586336452436e-08,1.866248468020473e+46
6,-0.014066584387508069,-0.011304784726018669,-0.017530145305601617,1.3572586336452436e-08,7.40263623140051e+45
7,-0.014066584387508069,-0.011304784726018669,-0.01514478381167351,1.3572586336452436e-08,1.267828475149021e+46
8,-0.014066584387508069,-0.008919423232090561,-0.017530145305601617,1.3572586336452436e-08,2.3741300291178684e+46
9,-0.014662924760990096,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,1.5716606177103796e+46
10,-0.014662924760990096,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,2.3521144460313304e+46
11,-0.014662924760990096,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,3.8409167437907803e+46
12,-0.014662924760990096,-0.008323082858607719,-0.014548443438190667,1.6965732920565545e-09,7.747150540738143e+46
13,-0.013470244014026042,-0.009515763605571772,-0.01574112418515309,1.6965732920565545e-09,1.9280151916261358e+46
14,-0.013470244014026042,-0.009515763605571772,-0.014548443438190667,1.6965732920565545e-09,2.9691535561425963e+46
15,-0.013470244014026042,-0.008323082858607719,-0.01574112418515309,1.6965732920565545e-09,8.651519156901992e+46
16,-0.013470244014026042,-0.008323082858607719,-0.014548443438190667,1.6965732920565545e-09,1.2179454197650967e+47
17,-0.016451945881436583,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,1.624985553874893e+46
18,-0.016451945881436583,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,2.138324952197177e+46
19,-0.016451945881436583,-0.008919423232090561,-0.01275942231774214,1.3572586336452436e-08,3.816180689510852e+46
