,direction,direction_spherical,peaks,column_density,angle_respect_to_los
639,"[-0.4496074299584911, 0.42866839064296847, -0.7836431393113118]","[2.4713052168422753, 2.3800310492196854]","[24.453268721005227, 19.30173109619343, 37.43385613307875]",5.285613364205044e+17,0.000526700778314737
1318,"[0.36866856836332806, -0.3904339190245441, 0.8435904465889059]","[0.566861527081214, -0.8140627896515285]","[2.9995590542593833, 25.960785808397834, 26.387895413918873]",1.3268268250784486e+18,0.0007515978164391868
2766,"[-0.9026733998750833, -0.412484760818844, 0.12262567125271502]","[1.4478612356927225, -2.712966688559693]","[15.632247057471815, 18.61808940993571, 26.65437644545946]",1.746926627899938e+16,0.0010569922964115894
456,"[0.4191126872468981, 0.8573116583109964, 0.29893356437966706]","[1.2672214048551227, 1.1160934863857916]","[1.7276854597004991, 12.179390546941807, 36.742962898584025]",1.0166903553766286e+18,0.0014713467043985726
70,"[0.7639554238036014, 0.49080643958653825, -0.4189047019328455]","[2.0030350754838495, 0.571052376658652]","[17.95894492278525, 35.076434853392215, 39.89460848470893]",2.0404362977979988e+16,0.0030386302752521965
741,"[-0.9903528005905349, -0.09845760410344888, -0.09750605394893697]","[1.668457550875499, -3.0425015623088707]","[33.608992431236516, 30.66620240953015, 7.26713723947245]",4.654988027421278e+16,0.0031476200503364332
120,"[0.21504439249751756, -0.15154774670600496, 0.9647741651410996]","[0.26621273343568713, -0.6138918955633478]","[9.813090673344668, 3.5024318309044062, 17.822843796460074]",7.582599879465983e+17,0.0031664481082980603
2439,"[-0.5608353501876346, 0.812638522274595, -0.1583740575197731]","[1.7298400359724646, 2.1748749772644396]","[6.717374468252125, 19.23875826616362, 29.861569528269424]",9.925569416982895e+17,0.0036802576936709186
2295,"[0.31359355533320077, -0.3194050534858264, -0.8942256392327382]","[2.6774945640540655, -0.7945788073960386]","[3.6460760634652516, 24.89781744286494, 0.3008772071442394]",6.434749426887605e+16,0.004353515118723561
1008,"[0.21226308178034314, -0.9280337337467874, 0.3061009198632183]","[1.2597016826192262, -1.3459406851341078]","[37.44036698368304, 36.82066405186884, 25.214063307322675]",9.90727058219733e+16,0.0051957101360682045
2807,"[-0.09624208605993637, 0.9903479632083424, 0.0997415291637335]","[1.4708886752098387, 1.667672198567841]","[30.38148683729379, 26.016590346227698, 25.462965430144806]",5.467771355480026e+16,0.005697652816993984
2168,"[0.8883608119097185, 0.3860388972448458, 0.24857400845037933]","[1.3195885500121243, 0.40993331168493974]","[20.724451053192343, 0.45173043731762164, 32.83637742131488]",4.94050098577456e+20,0.0059180376998720086
893,"[0.9481120627439366, -0.2043661634718862, 0.24355284376746622]","[1.324769000945951, -0.2123024132523157]","[37.32753997263251, 10.999575894931134, 30.43097437926096]",1.5208998649199998e+20,0.006174113587099628
2239,"[-0.5457759130288614, -0.7923739605563969, 0.2725291899773044]","[1.294775577690992, -2.1739562485869666]","[17.351652810397596, 27.787616937496427, 21.176005509628496]",1.6557476498917528e+16,0.006294635464253434
2011,"[-0.9903557255020213, -0.13828138178624466, -0.008590484075516635]","[1.5793869165317458, -3.0028615870717323]","[39.903649592312426, 29.23585146690769, 38.66866846480786]",5.649509140542259e+16,0.006518465456373434
2273,"[0.019487792430275267, -0.11461396520118979, 0.993218941083513]","[0.1165224149973426, -1.402377182653183]","[14.171035563258624, 7.969584006614824, 33.466147087298324]",1.838180118742689e+16,0.006642741269234587
997,"[0.6906957583166771, -0.20948774492188, 0.6921374532351913]","[0.8063500403408933, -0.2944811915662711]","[7.08610160053739, 39.871723372524016, 39.64108237770543]",2.2858690359537204e+16,0.0072895933275909375
1289,"[-0.7961790654432632, -0.6006446525764579, 0.0729718924052175]","[1.4977595174119445, -2.4952757513784967]","[19.344982478682354, 33.764652426921415, 28.147037676044036]",1.816533152092119e+16,0.0076505780155548125
2407,"[0.3386094591399298, -0.8228631048833618, 0.4563331511107628]","[1.096926443133258, -1.1804142933343211]","[12.73241211674253, 32.74484653617776, 2.763393600766233]",5.62329875752197e+16,0.00773198034071864
525,"[-0.08380441762324327, -0.9922805856939756, 0.09141148090721359]","[1.4792570581724747, -1.655052747495515]","[10.804714122990841, 14.55239528370302, 32.63421635087803]",3.8673639898776294e+18,0.008223993749994551
1282,"[0.22287000167837337, -0.6666846596364526, 0.7112387271214277]","[0.779537502242278, -1.248179640702332]","[25.155383493189767, 17.602960540040172, 27.68603881530751]",1.203848922555113e+17,0.008336458417025122
2389,"[-0.37641821210912124, 0.0847442585791004, 0.9225658460134161]","[0.3961178083311033, 2.9201513776850683]","[39.62636573675894, 17.962524205171178, 6.79336178531976]",2.8739152350927936e+17,0.00929732935180444
86,"[-0.09728651711013774, -0.8188959755508564, 0.5656365571771221]","[0.9695913697895673, -1.6890441373414298]","[24.340958274002304, 10.785132767610307, 14.130157187139766]",2.5237275118202284e+16,0.009860317589559554
2358,"[-0.6165128334190826, 0.7831176115283324, 0.08147841888336226]","[1.4892274852777256, 2.2377171371333566]","[33.46947242207804, 13.878787750855878, 17.59186274902964]",2.0878838268972296e+16,0.009986540619019622
577,"[0.9085455625780586, 0.2685931970183991, 0.3200041487780345]","[1.2450624604583802, 0.287442684670094]","[22.3373715293674, 36.23964208502221, 22.449602228127944]",2.799388186833924e+19,0.010097505865883871
280,"[-0.23359009002147527, 0.3390828245415257, 0.9112949620977282]","[0.4243781411834488, 2.1740255792836276]","[9.420921743753542, 20.38108310432604, 4.03819999059786]",1.9595958102996634e+17,0.010124415238442375
2064,"[-0.4401507656388152, 0.0037821598981190798, 0.8979159196573305]","[0.45578466802359385, 3.1329999914632776]","[11.448794538769391, 28.254892966301462, 29.405120600197826]",1.82303775960752e+17,0.010309899462053851
1408,"[0.027458507110172937, 0.7666363898409848, 0.6414940967451399]","[0.8743519934746989, 1.5349947723523711]","[3.217470648085344, 38.43733682725269, 12.724449969238478]",1.7293610521392704e+17,0.010496098434787438
1745,"[0.6960216041616855, -0.35243025492346075, -0.6255772070294585]","[2.2466674955670176, -0.46871436996545673]","[2.7493160498317266, 11.24836512021615, 19.29251184681575]",2.4528216289183696e+16,0.011196081178394712
2361,"[-0.8155629539402319, -0.5671288887752185, -0.11498648475742418]","[1.6860377209647535, -2.5339718452926423]","[12.31583287395706, 5.186629244815773, 17.26198927336921]",4.04524714997721e+20,0.01142258099778036
1200,"[0.9385731937884367, -0.29552808810210424, 0.17816708182065533]","[1.3916729121088225, -0.30504211554353394]","[4.57510053529559, 17.529498776111694, 8.881142536553462]",9.293887547597715e+16,0.011445855226698332
2291,"[-0.15351184488400568, -0.5627675133979642, 0.8122357043027478]","[0.6228217129920444, -1.8370976549422244]","[1.9924502342410761, 8.667069301597339, 33.9318392804661]",8.879753472852574e+19,0.011927376793535303
730,"[0.13985531668793738, -0.8955864927409993, -0.42233319122938234]","[2.006814122344621, -1.4158868634939403]","[2.4929139128563733, 9.042561658551627, 37.206121049593484]",1.4800752126048092e+18,0.012205902612933694
2628,"[-0.24379682184512821, -0.5178309981016789, 0.8200086384076898]","[0.6093702153479646, -2.0108154090072747]","[9.119349867783562, 9.993854880408623, 7.2768232950203355]",5.2615257726208456e+16,0.012270187700942459
975,"[0.9247022737032872, -0.2838687988404876, -0.2536616053974864]","[1.827260128842996, -0.29785175027629274]","[10.515869386243782, 7.480825772852302, 36.97339617272269]",4.698533820692479e+17,0.012764543849648813
1545,"[-0.0892760964083897, -0.17446515638025292, -0.980607815499802]","[2.9443355280655945, -2.0437704035274122]","[14.26025414516375, 24.952854592883728, 22.213803146933213]",5.654124428393106e+19,0.013556284819847806
1238,"[0.0728829161487791, -0.9130603241129946, 0.40125917443009895]","[1.15790519621806, -1.4911425423797557]","[21.106069946960247, 25.674726072782878, 29.90660522175248]",3.4563475847478716e+16,0.013699041581959278
515,"[0.8556788000937505, 0.42976710803772106, 0.28829502929987016]","[1.2783505383508584, 0.46544825695000425]","[21.941291912230696, 34.07818922402708, 37.88695384242093]",2.2651801856209016e+16,0.013936450532435377
670,"[-0.5391243084065891, 0.7201718079287425, 0.43668930276543594]","[1.1188810921770536, 2.2134041195917686]","[15.15931602594111, 4.679623301658673, 18.93683531046382]",2.35308752280645e+16,0.014259031194593846
2268,"[0.39695227668071975, 0.7276126014127452, 0.5594718869642785]","[0.9770478280131246, 1.0713726286876788]","[27.6571525496512, 38.71160137267305, 23.833683705479345]",1.686761065937701e+20,0.014557233315241114
2252,"[-0.41099383823741303, 0.9060376690047959, -0.10089503097395357]","[1.6718633287185545, 1.996653848433502]","[14.881221864581562, 14.877551916851964, 24.231646305260675]",1.4578467623215804e+19,0.014860008224407115
1625,"[-0.2244877135511442, -0.9696266226788095, 0.09710550477220513]","[1.4735375617499102, -1.7983076294711005]","[9.76289240315259, 16.378433194057052, 6.752760037805679]",1.7414400437049508e+16,0.01522583973069666
563,"[-0.9980601436881201, 0.0596745537486398, -0.017745343506099683]","[1.5885426017595385, 3.081873210921018]","[12.04045965022962, 33.80575706687727, 22.194729139399907]",1.081593708774338e+17,0.015328342362247657
2316,"[0.23991839307702365, 0.8718665602262585, 0.42695183079894405]","[1.1296770884762546, 1.3022647483077907]","[31.879664907610042, 19.124294246859655, 25.401716240557064]",2.8210452809679892e+19,0.015427708470337032
53,"[0.3550493581116551, -0.8315165046644931, 0.42722389419956797]","[1.1293762033240553, -1.1672412116846682]","[30.819731142460654, 20.045847114108646, 38.2055859224635]",2.191120365790605e+16,0.01545635132997164
1580,"[0.6084317948848549, 0.524483212293698, 0.5955905565027689]","[0.9327957043818318, 0.7114337095509824]","[21.016936663950133, 8.477066509587132, 36.33433008587221]",2.7540395852847168e+17,0.01592177427379199
2460,"[-0.7609409214401097, -0.6194529004184501, -0.1929948658411542]","[1.7650098112237051, -2.4583360909796204]","[22.05031362522733, 13.07782723236443, 1.7709074117321464]",3.368370020876187e+16,0.01675893513149712
2577,"[0.5254247966671124, -0.3952137080763854, -0.7534818564476768]","[2.424138307398777, -0.6448944660081718]","[6.14720553517283, 27.70494765599445, 25.971535354024958]",5.0304402895935354e+20,0.018437431102209634
943,"[-0.16704605231068373, -0.9623112092411565, 0.2145990516666814]","[1.3545150278352331, -1.7426720004996261]","[14.951273649566334, 17.635696620966492, 25.796200567447773]",5.2945481450716344e+16,0.018499132685999398
1694,"[-0.5024446197487002, 0.8632328665354987, -0.048769070305776215]","[1.6195847500611815, 2.097912666684758]","[15.126879468941826, 10.371872035689535, 32.30307566671878]",5.359149121448749e+16,0.018727855963778295
1650,"[-0.4450147524117734, 0.23436535846757117, 0.8643117197436667]","[0.5270160371759552, 2.656855968759404]","[15.678720083310694, 15.275982546496515, 26.516711682422503]",2.8843092805290744e+16,0.018820249369556896
2032,"[-0.2436529670849747, -0.05201116027050651, 0.9684668661539245]","[0.2517946177238343, -2.931285000036654]","[8.843361237275545, 4.099972480854909, 14.681520251560466]",1.3480856303214217e+20,0.018897449357606164
1914,"[0.19595666448239343, 0.7993608290256707, 0.5679993403731446]","[0.9667233658865876, 1.3303953918095883]","[37.20333944597715, 31.093152264729312, 23.472490078145107]",2.1004354330735247e+20,0.019048733051709676
298,"[0.7715269114067592, -0.5905478588694837, 0.23664203210717968]","[1.3318880712736363, -0.6533017705988658]","[31.32319106888002, 28.681857261131427, 19.819193340371235]",1.4719484970166083e+17,0.0197515621409127
1865,"[0.5522051322460543, -0.7769503540894334, 0.3023535003955161]","[1.2636355736502487, -0.9529025197382484]","[3.5592906073933186, 23.287890326992525, 8.537643250121803]",2.5304794953418396e+16,0.01993777420859688
2646,"[0.8129257041750545, 0.4595706321465213, 0.35769628675726944]","[1.2049965328532344, 0.5145360410790529]","[16.529277446851395, 9.641139272497838, 33.4837919722024]",6.298980453894442e+17,0.0199716052170395
7,"[0.39697338536654725, -0.7257546131135849, 0.5618650842105907]","[0.9741576316887729, -1.0702745555251303]","[32.02685255186287, 16.342561338458523, 4.349204880936135]",3.1096776254491364e+16,0.020597137836599944
1110,"[-0.934452211799354, 0.350318017882331, 0.0638463014613241]","[1.5069065689242902, 2.782917272769772]","[35.820858218739126, 4.956245659286047, 18.65265459229198]",3.725562444858224e+16,0.020606709227474145
1945,"[0.625596458485066, 0.7726732769521164, 0.10772686858449355]","[1.4628599993796656, 0.8901976702218363]","[30.518131703732436, 28.243323836092035, 29.22319089623946]",4.970159632471462e+17,0.020826307644790085
2670,"[0.0822732213035588, -0.35509582997798717, 0.9312024852783523]","[0.37309828384113086, -1.3431205861801458]","[12.039605114201223, 30.059258176667928, 37.61368705149954]",2.3545245324367018e+17,0.020892786196778507
21,"[0.783750309137661, 0.542656046357046, 0.30209248298949853]","[1.2639093957295449, 0.6055961356399304]","[23.376216418448628, 24.62935866902137, 20.6136286738221]",2.5108992872752208e+20,0.02098659499972383
